"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-10T13:29:50.000+01:00","33","0.129","17","28"
"2023-03-10T13:30:00.000+01:00","33","0.129","17","28"
"2023-03-10T13:30:10.000+01:00","33","0.129","17","28"
"2023-03-10T13:30:20.000+01:00","33","0.13","17","28"
"2023-03-10T13:30:30.000+01:00","33","0.13","17","28"
"2023-03-10T13:30:40.000+01:00","34","0.134","17","30"
"2023-03-10T13:30:50.000+01:00","33","0.131","17","28"
"2023-03-10T13:31:00.000+01:00","33","0.13","17","28"
"2023-03-10T13:31:10.000+01:00","33","0.13","17","28"
"2023-03-10T13:31:20.000+01:00","33","0.13","17","28"
"2023-03-10T13:31:30.000+01:00","33","0.13","17","28"
"2023-03-10T13:31:40.000+01:00","33","0.129","17","28"
"2023-03-10T13:31:50.000+01:00","33","0.131","17","29"
"2023-03-10T13:32:00.000+01:00","34","0.136","18","29"
"2023-03-10T13:32:10.000+01:00","34","0.135","17","29"
"2023-03-10T13:32:20.000+01:00","33","0.13","17","28"
"2023-03-10T13:32:30.000+01:00","33","0.131","18","28"
"2023-03-10T13:32:40.000+01:00","16","0.064","8","14"
"2023-03-10T13:32:50.000+01:00","16","0.063","8","14"
"2023-03-10T13:33:00.000+01:00","16","0.063","8","14"
"2023-03-10T13:33:10.000+01:00","16","0.063","8","14"
"2023-03-10T13:33:20.000+01:00","33","0.13","17","28"
"2023-03-10T13:33:30.000+01:00","33","0.131","17","28"
"2023-03-10T13:33:40.000+01:00","34","0.135","17","29"
"2023-03-10T13:33:50.000+01:00","33","0.132","17","29"
"2023-03-10T13:34:00.000+01:00","34","0.133","17","29"
"2023-03-10T13:34:10.000+01:00","33","0.132","17","29"
"2023-03-10T13:34:20.000+01:00","33","0.132","17","29"
"2023-03-10T13:34:30.000+01:00","34","0.134","17","29"
"2023-03-10T13:34:40.000+01:00","34","0.133","17","29"
"2023-03-10T13:34:50.000+01:00","33","0.132","17","29"
"2023-03-10T13:35:00.000+01:00","16","0.063","8","14"
"2023-03-10T13:35:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:35:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:35:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:35:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:35:50.000+01:00","16","0.062","8","13"
"2023-03-10T13:36:00.000+01:00","16","0.062","8","14"
"2023-03-10T13:36:10.000+01:00","16","0.062","8","14"
"2023-03-10T13:36:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:36:30.000+01:00","29","0.117","17","24"
"2023-03-10T13:36:40.000+01:00","34","0.135","17","29"
"2023-03-10T13:36:50.000+01:00","34","0.134","8","33"
"2023-03-10T13:37:00.000+01:00","16","0.062","8","13"
"2023-03-10T13:37:10.000+01:00","16","0.062","8","14"
"2023-03-10T13:37:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:37:30.000+01:00","16","0.062","8","13"
"2023-03-10T13:37:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:37:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:38:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:38:10.000+01:00","15","0.061","8","13"
"2023-03-10T13:38:20.000+01:00","32","0.127","18","27"
"2023-03-10T13:38:30.000+01:00","34","0.134","17","29"
"2023-03-10T13:38:40.000+01:00","32","0.128","17","28"
"2023-03-10T13:38:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:39:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:39:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:39:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:39:30.000+01:00","16","0.062","8","13"
"2023-03-10T13:39:40.000+01:00","16","0.062","8","13"
"2023-03-10T13:39:50.000+01:00","16","0.062","8","13"
"2023-03-10T13:40:00.000+01:00","16","0.062","8","13"
"2023-03-10T13:40:10.000+01:00","15","0.061","8","13"
"2023-03-10T13:40:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:40:30.000+01:00","16","0.062","8","14"
"2023-03-10T13:40:40.000+01:00","16","0.062","8","13"
"2023-03-10T13:40:50.000+01:00","16","0.062","8","13"
"2023-03-10T13:41:00.000+01:00","16","0.062","8","13"
"2023-03-10T13:41:10.000+01:00","15","0.061","8","13"
"2023-03-10T13:41:20.000+01:00","16","0.062","8","14"
"2023-03-10T13:41:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:41:40.000+01:00","15","0.06","8","13"
"2023-03-10T13:41:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:42:00.000+01:00","27","0.108","8","26"
"2023-03-10T13:42:10.000+01:00","15","0.061","8","13"
"2023-03-10T13:42:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:42:30.000+01:00","16","0.062","8","14"
"2023-03-10T13:42:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:42:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:43:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:43:10.000+01:00","15","0.061","8","13"
