"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-16T09:10:20.000+01:00","73","0.337","48","55"
"2023-03-16T09:10:30.000+01:00","64","0.296","64","0"
"2023-03-16T09:10:40.000+01:00","61","0.284","35","50"
"2023-03-16T09:10:50.000+01:00","44","0.206","37","25"
"2023-03-16T09:11:00.000+01:00","62","0.287","35","52"
"2023-03-16T09:11:10.000+01:00","53","0.246","43","32"
"2023-03-16T09:11:20.000+01:00","47","0.217","38","28"
"2023-03-16T09:11:30.000+01:00","44","0.203","36","26"
"2023-03-16T09:11:40.000+01:00","43","0.201","37","23"
"2023-03-16T09:11:50.000+01:00","44","0.204","36","26"
"2023-03-16T09:12:00.000+01:00","55","0.252","55","0"
"2023-03-16T09:12:10.000+01:00","75","0.347","68","33"
"2023-03-16T09:12:20.000+01:00","48","0.221","47","10"
"2023-03-16T09:12:30.000+01:00","45","0.208","35","28"
"2023-03-16T09:12:40.000+01:00","89","0.412","62","63"
"2023-03-16T09:12:50.000+01:00","65","0.302","59","29"
"2023-03-16T09:13:00.000+01:00","70","0.324","62","33"
"2023-03-16T09:13:10.000+01:00","67","0.308","67","0"
"2023-03-16T09:13:20.000+01:00","46","0.214","37","28"
"2023-03-16T09:13:30.000+01:00","53","0.246","38","38"
"2023-03-16T09:13:40.000+01:00","62","0.286","38","49"
"2023-03-16T09:13:50.000+01:00","71","0.329","67","24"
"2023-03-16T09:14:00.000+01:00","51","0.233","38","34"
"2023-03-16T09:14:10.000+01:00","44","0.204","39","21"
"2023-03-16T09:14:20.000+01:00","48","0.22","43","21"
"2023-03-16T09:14:30.000+01:00","45","0.209","35","28"
"2023-03-16T09:14:40.000+01:00","45","0.206","38","23"
"2023-03-16T09:14:50.000+01:00","43","0.199","38","20"
"2023-03-16T09:15:00.000+01:00","44","0.205","36","26"
"2023-03-16T09:15:10.000+01:00","54","0.248","37","40"
"2023-03-16T09:15:20.000+01:00","76","0.349","65","38"
"2023-03-16T09:15:30.000+01:00","72","0.332","49","53"
"2023-03-16T09:15:40.000+01:00","51","0.236","51","0"
"2023-03-16T09:15:50.000+01:00","66","0.304","58","31"
"2023-03-16T09:16:00.000+01:00","74","0.342","38","64"
"2023-03-16T09:16:10.000+01:00","49","0.226","40","28"
"2023-03-16T09:16:20.000+01:00","47","0.218","40","25"
"2023-03-16T09:16:30.000+01:00","45","0.206","37","24"
"2023-03-16T09:16:40.000+01:00","45","0.21","35","29"
"2023-03-16T09:16:50.000+01:00","48","0.222","36","32"
"2023-03-16T09:17:00.000+01:00","71","0.328","35","62"
"2023-03-16T09:17:10.000+01:00","45","0.208","40","21"
"2023-03-16T09:17:20.000+01:00","60","0.278","60","0"
"2023-03-16T09:17:30.000+01:00","69","0.318","41","55"
"2023-03-16T09:17:40.000+01:00","46","0.214","46","0"
"2023-03-16T09:17:50.000+01:00","61","0.28","38","47"
