"time","ApparentPower","Current","Power","ReactivePower","Voltage"
"2023-02-17T09:16:40.000+01:00","35","0.16","35","0","218"
"2023-02-17T09:16:50.000+01:00","49","0.224","49","0","219"
"2023-02-17T09:17:00.000+01:00","33","0.15","28","18","218"
"2023-02-17T09:17:10.000+01:00","38","0.174","35","15","218"
"2023-02-17T09:17:20.000+01:00","36","0.166","28","23","219"
"2023-02-17T09:17:30.000+01:00","37","0.169","27","25","219"
"2023-02-17T09:17:40.000+01:00","43","0.196","43","0","218"
"2023-02-17T09:17:50.000+01:00","45","0.208","45","0","218"
"2023-02-17T09:18:00.000+01:00","42","0.191","25","33","219"
"2023-02-17T09:18:10.000+01:00","49","0.223","48","0","218"
"2023-02-17T09:18:20.000+01:00","59","0.271","57","16","218"
"2023-02-17T09:18:30.000+01:00","52","0.24","52","0","218"
"2023-02-17T09:18:40.000+01:00","52","0.24","52","0","218"
"2023-02-17T09:18:50.000+01:00","51","0.233","51","0","218"
"2023-02-17T09:19:00.000+01:00","51","0.233","47","21","219"
"2023-02-17T09:19:10.000+01:00","51","0.232","51","0","219"
"2023-02-17T09:19:20.000+01:00","51","0.232","51","0","219"
"2023-02-17T09:19:30.000+01:00","62","0.284","54","31","218"
"2023-02-17T09:19:40.000+01:00","58","0.264","57","11","218"
"2023-02-17T09:19:50.000+01:00","34","0.156","28","19","219"
"2023-02-17T09:20:00.000+01:00","34","0.154","34","0","218"
"2023-02-17T09:20:10.000+01:00","35","0.159","33","11","218"
"2023-02-17T09:20:20.000+01:00","33","0.151","33","0","219"
"2023-02-17T09:20:30.000+01:00","30","0.138","30","0","218"
"2023-02-17T09:20:40.000+01:00","34","0.154","34","0","219"
"2023-02-17T09:20:50.000+01:00","30","0.139","30","0","218"
"2023-02-17T09:21:00.000+01:00","37","0.168","37","0","219"
"2023-02-17T09:21:10.000+01:00","31","0.14","31","0","219"
"2023-02-17T09:21:20.000+01:00","31","0.141","25","18","218"
"2023-02-17T09:21:40.000+01:00","20","0.092","6","19","219"
"2023-02-17T09:22:20.000+01:00","14","0.066","11","9","219"
"2023-02-17T09:22:30.000+01:00","27","0.122","15","22","220"
"2023-02-17T09:22:40.000+01:00","26","0.12","13","23","219"
"2023-02-17T09:23:20.000+01:00","14","0.066","14","0","219"
"2023-02-17T09:23:30.000+01:00","26","0.119","15","21","219"
"2023-02-17T09:23:40.000+01:00","26","0.118","15","21","219"
"2023-02-17T09:23:50.000+01:00","2","0.01","2","0","219"
"2023-02-17T09:24:00.000+01:00","26","0.117","15","21","219"
"2023-02-17T09:24:10.000+01:00","24","0.109","5","23","219"
"2023-02-17T09:24:20.000+01:00","6","0.029","6","0","219"
"2023-02-17T09:24:30.000+01:00","23","0.104","13","19","219"
"2023-02-17T09:24:40.000+01:00","21","0.098","12","18","219"
"2023-02-17T09:25:30.000+01:00","4","0.02","4","0","219"
"2023-02-17T09:25:40.000+01:00","45","0.204","34","29","219"
"2023-02-17T09:25:50.000+01:00","43","0.197","35","25","219"
"2023-02-17T09:26:00.000+01:00","51","0.233","35","37","219"
"2023-02-17T09:26:10.000+01:00","53","0.24","37","38","219"
"2023-02-17T09:26:20.000+01:00","43","0.198","35","26","219"
"2023-02-17T09:26:30.000+01:00","44","0.199","37","23","219"
"2023-02-17T09:26:40.000+01:00","71","0.325","49","51","219"
"2023-02-17T09:26:50.000+01:00","48","0.219","34","34","219"
"2023-02-17T09:27:00.000+01:00","55","0.252","36","42","218"
"2023-02-17T09:27:10.000+01:00","56","0.256","56","0","219"
"2023-02-17T09:27:20.000+01:00","43","0.198","35","25","219"
"2023-02-17T09:27:30.000+01:00","42","0.194","34","26","219"
"2023-02-17T09:27:40.000+01:00","43","0.195","39","18","218"
"2023-02-17T09:27:50.000+01:00","43","0.198","36","25","219"
"2023-02-17T09:28:00.000+01:00","55","0.25","35","42","219"
"2023-02-17T09:28:10.000+01:00","56","0.258","56","0","219"
"2023-02-17T09:28:20.000+01:00","43","0.198","35","25","219"
"2023-02-17T09:28:30.000+01:00","45","0.208","35","29","218"
"2023-02-17T09:28:40.000+01:00","69","0.317","36","60","219"
"2023-02-17T09:28:50.000+01:00","43","0.198","43","0","218"
"2023-02-17T09:29:00.000+01:00","43","0.198","43","0","219"
"2023-02-17T09:29:10.000+01:00","51","0.235","42","30","218"
"2023-02-17T09:29:20.000+01:00","44","0.201","36","26","218"
"2023-02-17T09:29:30.000+01:00","44","0.199","35","26","219"
"2023-02-17T09:29:40.000+01:00","42","0.193","36","23","219"
"2023-02-17T09:29:50.000+01:00","43","0.199","33","29","218"
"2023-02-17T09:30:00.000+01:00","55","0.254","34","44","218"
"2023-02-17T09:30:10.000+01:00","53","0.241","35","40","218"
"2023-02-17T09:30:20.000+01:00","45","0.206","35","29","219"
"2023-02-17T09:30:30.000+01:00","71","0.323","36","61","218"
"2023-02-17T09:30:40.000+01:00","43","0.199","43","0","218"
"2023-02-17T09:30:50.000+01:00","44","0.201","44","0","218"
"2023-02-17T09:31:00.000+01:00","43","0.199","35","26","218"
"2023-02-17T09:31:10.000+01:00","44","0.2","35","26","218"
"2023-02-17T09:31:20.000+01:00","46","0.21","35","29","218"
"2023-02-17T09:31:30.000+01:00","55","0.251","49","25","218"
"2023-02-17T09:31:40.000+01:00","42","0.194","34","26","218"
"2023-02-17T09:31:50.000+01:00","45","0.207","35","29","218"
"2023-02-17T09:32:00.000+01:00","55","0.252","34","44","218"
"2023-02-17T09:32:10.000+01:00","47","0.216","40","24","217"
"2023-02-17T09:32:20.000+01:00","70","0.321","47","52","218"
"2023-02-17T09:32:30.000+01:00","43","0.197","43","0","218"
"2023-02-17T09:32:40.000+01:00","42","0.194","34","26","218"
"2023-02-17T09:32:50.000+01:00","43","0.196","34","26","218"
"2023-02-17T09:33:00.000+01:00","43","0.196","34","25","218"
"2023-02-17T09:33:10.000+01:00","43","0.198","35","26","218"
"2023-02-17T09:33:20.000+01:00","48","0.221","34","34","218"
"2023-02-17T09:33:30.000+01:00","47","0.216","34","33","218"
"2023-02-17T09:33:40.000+01:00","43","0.196","34","27","218"
"2023-02-17T09:33:50.000+01:00","46","0.212","33","32","218"
"2023-02-17T09:34:00.000+01:00","69","0.316","35","59","218"
"2023-02-17T09:34:10.000+01:00","43","0.197","43","0","219"
"2023-02-17T09:34:20.000+01:00","42","0.193","35","24","219"
"2023-02-17T09:34:30.000+01:00","42","0.194","34","25","218"
"2023-02-17T09:34:40.000+01:00","43","0.197","35","25","219"
"2023-02-17T09:34:50.000+01:00","42","0.194","34","26","219"
"2023-02-17T09:35:00.000+01:00","42","0.194","42","0","219"
"2023-02-17T09:35:10.000+01:00","56","0.254","34","44","219"
"2023-02-17T09:35:20.000+01:00","49","0.223","36","33","218"
"2023-02-17T09:35:30.000+01:00","44","0.2","35","26","219"
"2023-02-17T09:35:40.000+01:00","45","0.205","34","29","218"
"2023-02-17T09:35:50.000+01:00","69","0.316","38","57","219"
"2023-02-17T09:36:00.000+01:00","43","0.198","43","0","219"
"2023-02-17T09:36:10.000+01:00","44","0.201","44","0","219"
"2023-02-17T09:36:20.000+01:00","43","0.198","34","27","219"
"2023-02-17T09:36:30.000+01:00","45","0.207","34","30","219"
"2023-02-17T09:36:40.000+01:00","55","0.25","34","43","219"
"2023-02-17T09:36:50.000+01:00","43","0.199","35","26","218"
"2023-02-17T09:37:00.000+01:00","56","0.258","34","45","218"
"2023-02-17T09:37:10.000+01:00","44","0.203","44","0","218"
"2023-02-17T09:37:20.000+01:00","56","0.255","33","45","218"
"2023-02-17T09:37:30.000+01:00","56","0.257","35","44","218"
"2023-02-17T09:37:40.000+01:00","72","0.328","69","21","219"
"2023-02-17T09:37:50.000+01:00","42","0.194","34","25","218"
"2023-02-17T09:38:00.000+01:00","42","0.193","34","25","218"
"2023-02-17T09:38:10.000+01:00","42","0.191","34","24","219"
"2023-02-17T09:38:20.000+01:00","43","0.195","33","27","219"
"2023-02-17T09:38:30.000+01:00","55","0.251","35","43","218"
"2023-02-17T09:38:40.000+01:00","42","0.194","34","26","218"
"2023-02-17T09:38:50.000+01:00","43","0.196","33","27","218"
"2023-02-17T09:39:00.000+01:00","42","0.193","35","24","218"
"2023-02-17T09:39:10.000+01:00","43","0.195","34","26","218"
"2023-02-17T09:39:20.000+01:00","71","0.324","39","59","218"
"2023-02-17T09:39:30.000+01:00","43","0.195","43","0","218"
"2023-02-17T09:39:40.000+01:00","49","0.223","34","35","219"
"2023-02-17T09:39:50.000+01:00","53","0.24","34","40","219"
"2023-02-17T09:40:00.000+01:00","42","0.192","33","26","219"
"2023-02-17T09:40:10.000+01:00","44","0.199","35","26","219"
"2023-02-17T09:40:20.000+01:00","42","0.193","34","25","219"
"2023-02-17T09:40:30.000+01:00","42","0.191","42","0","219"
"2023-02-17T09:40:40.000+01:00","43","0.198","34","27","219"
"2023-02-17T09:40:50.000+01:00","53","0.243","34","41","219"
"2023-02-17T09:41:00.000+01:00","43","0.199","34","27","218"
"2023-02-17T09:41:10.000+01:00","68","0.31","45","51","219"
"2023-02-17T09:41:20.000+01:00","43","0.195","37","21","219"
"2023-02-17T09:41:30.000+01:00","47","0.213","47","0","219"
"2023-02-17T09:41:40.000+01:00","54","0.247","33","43","219"
"2023-02-17T09:41:50.000+01:00","42","0.193","34","25","218"
"2023-02-17T09:42:00.000+01:00","43","0.195","43","0","219"
"2023-02-17T09:42:10.000+01:00","44","0.199","35","26","219"
"2023-02-17T09:42:20.000+01:00","43","0.198","34","27","219"
"2023-02-17T09:42:30.000+01:00","43","0.195","34","26","219"
"2023-02-17T09:42:40.000+01:00","44","0.2","33","28","218"
"2023-02-17T09:42:50.000+01:00","73","0.334","38","63","219"
"2023-02-17T09:43:00.000+01:00","48","0.218","48","0","219"
"2023-02-17T09:43:10.000+01:00","43","0.198","35","25","219"
"2023-02-17T09:43:20.000+01:00","43","0.198","35","26","219"
"2023-02-17T09:43:30.000+01:00","43","0.196","43","0","219"
"2023-02-17T09:43:40.000+01:00","42","0.193","35","24","219"
"2023-02-17T09:43:50.000+01:00","42","0.193","34","26","219"
"2023-02-17T09:44:00.000+01:00","42","0.193","35","24","219"
"2023-02-17T09:44:10.000+01:00","54","0.247","35","41","219"
"2023-02-17T09:44:20.000+01:00","43","0.196","36","23","219"
"2023-02-17T09:44:30.000+01:00","44","0.203","37","24","219"
"2023-02-17T09:44:40.000+01:00","71","0.326","69","17","219"
"2023-02-17T09:44:50.000+01:00","52","0.238","52","0","219"
"2023-02-17T09:45:00.000+01:00","42","0.193","33","26","219"
"2023-02-17T09:45:10.000+01:00","43","0.198","35","26","219"
"2023-02-17T09:45:20.000+01:00","43","0.197","35","26","219"
"2023-02-17T09:45:30.000+01:00","43","0.198","35","26","219"
"2023-02-17T09:45:40.000+01:00","43","0.198","43","0","219"
"2023-02-17T09:45:50.000+01:00","42","0.194","34","25","219"
