relay,temperature,overtemperature,energy,power
1,29.35,0,45206,0
1,29.35,0,45206,0
1,30.15,0,45206,0
1,30.15,0,45206,0
1,30.26,0,45207,0
1,30.26,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.92,0,45207,0
1,29.92,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.29,0,45207,0
1,29.29,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.98,0,45207,0
1,29.98,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.92,0,45207,0
1,29.92,0,45207,0
1,29.41,0,45207,0
1,29.41,0,45207,0
1,29.69,0,45207,0.35
1,29.69,0,45207,0.35
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.98,0,45207,0
1,29.98,0,45207,0
1,29.98,0,45207,0
1,29.98,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,30.03,0,45207,0
1,30.03,0,45207,0
1,29.41,0,45207,0
1,29.41,0,45207,0
1,29.69,0,45207,0.35
1,29.69,0,45207,0.35
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.41,0,45207,0.32
1,29.41,0,45207,0.32
1,29.46,0,45207,0
1,29.46,0,45207,0
1,30.03,0,45207,0
1,30.03,0,45207,0
1,29.98,0,45207,0
1,29.98,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,30.26,0,45207,0
1,30.26,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.35,0,45207,0
1,29.35,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.12,0,45207,0
1,29.12,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,30.2,0,45207,0
1,30.2,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,29.58,0,45207,0
1,29.58,0,45207,0
1,29.41,0,45207,0
1,29.41,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.29,0,45207,0
1,29.29,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,30.15,0,45207,0
1,30.15,0,45207,0
1,29.35,0,45207,0
1,29.35,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.29,0,45207,0
1,29.29,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.12,0,45207,0
1,29.12,0,45207,0
1,29.41,0,45207,0
1,29.41,0,45207,0
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.75,0,45207,0.36
1,29.75,0,45207,0.36
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
1,29.41,0,45207,0
1,29.41,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
1,29.35,0,45207,0
1,29.35,0,45207,0
1,29.35,0,45207,0
1,29.35,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.92,0,45207,0
1,29.92,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.46,0,45207,0.31
1,29.46,0,45207,0.31
1,29.69,0,45207,0
1,29.69,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.52,0,45207,0
1,29.52,0,45207,0
1,29.24,0,45207,0
1,29.24,0,45207,0
1,29.41,0,45207,0
1,29.41,0,45207,0
1,29.01,0,45207,0
1,29.01,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.86,0,45207,0
1,29.86,0,45207,0
1,29.75,0,45207,0
1,29.75,0,45207,0
1,29.29,0,45207,0
1,29.29,0,45207,0
1,29.46,0,45207,0
1,29.46,0,45207,0
1,29.81,0,45207,0
1,29.81,0,45207,0
1,29.18,0,45207,0
1,29.18,0,45207,0
