relay,temperature,overtemperature,energy,power
1,31.05,0,34,0
1,31.05,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.54,0,34,0
1,30.54,0,34,0
1,30.65,0,34,0
1,30.65,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.43,0,34,0
1,30.43,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.09,0,34,0
1,30.09,0,34,0
1,30.54,0,34,0
1,30.54,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.37,0,34,0
1,30.37,0,34,0
1,31.05,0,34,0
1,31.05,0,34,0
1,31.05,0,34,0
1,31.05,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
